Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,Yaw,PositionType
25.859081,0.18208,40.759683,-84.190895,0,0.58619,4465.111,0.622315,4,1,FALSE,FALSE,13.655552,1.496233,3
25.826218,0.183139,40.759687,-84.190896,0,0.606905,4509.9937,0.64577,4,1,FALSE,FALSE,14.024501,1.500274,3
25.796974,0.184201,40.759691,-84.190896,0,0.617509,4549.52,0.662373,4,1,FALSE,FALSE,13.779139,1.504452,3
25.77468,0.185261,40.759695,-84.190897,0,0.619975,4589.2925,0.676901,4,1,FALSE,FALSE,13.646104,1.508809,3
25.755646,0.18632,40.759699,-84.190897,0,0.619975,4621.666,0.688315,4,1,FALSE,FALSE,14.042617,1.51345,3
25.73614,0.187378,40.759703,-84.190897,0,0.616276,4647.3438,0.698691,4,1,FALSE,FALSE,14.214189,1.518485,3
25.719044,0.188435,40.759706,-84.190898,0,0.606905,4673.365,0.709067,4,1,FALSE,FALSE,14.214288,1.523944,3
25.70532,0.189491,40.75971,-84.190899,0,0.595561,4685.684,0.71716,4,1,FALSE,FALSE,14.822793,1.529799,3
25.69265,0.190547,40.759714,-84.190899,0,0.584464,4681.5283,0.726083,4,1,FALSE,FALSE,15.160529,1.536007,3
25.680834,0.191602,40.759718,-84.1909,0,0.571887,4681.4346,0.734175,4,1,FALSE,FALSE,14.918576,1.542575,3
25.671188,0.192655,40.759722,-84.190901,0,0.563255,4680.721,0.740607,4,1,FALSE,FALSE,14.711781,1.549522,3
25.66333,0.193708,40.759726,-84.190902,0,0.559063,4670.1543,0.745379,4,1,FALSE,FALSE,14.920946,1.556796,3
25.656342,0.194759,40.759729,-84.190902,0,0.558077,4655.7793,0.749321,4,1,FALSE,FALSE,15.142426,1.564315,3
25.650404,0.195811,40.759733,-84.190903,0,0.558076,4643.2246,0.752226,4,1,FALSE,FALSE,14.758542,1.572004,3
25.64496,0.196861,40.759737,-84.190904,0,0.558076,4634.6816,0.757205,4,1,FALSE,FALSE,14.683585,1.579811,3
25.640512,0.197901,40.759741,-84.190905,0,0.558076,4622.8804,0.762393,4,1,FALSE,FALSE,14.572371,1.58764,3
25.63872,0.19894,40.759744,-84.190906,0,0.558076,4607.41,0.766542,4,1,FALSE,FALSE,13.93519,1.595375,3
25.639875,0.199978,40.759748,-84.190907,0,0.559063,4598.4185,0.770484,4,1,FALSE,FALSE,13.523293,1.602972,3
25.642275,0.201016,40.759752,-84.190909,0,0.561282,4588.449,0.775671,4,1,FALSE,FALSE,13.396708,1.610409,3
25.644714,0.202054,40.759756,-84.19091,0,0.564242,4579.3223,0.783347,4,1,FALSE,FALSE,13.37334,1.617652,3
25.64747,0.203091,40.759759,-84.190911,0,0.568187,4575.2964,0.79206,4,1,FALSE,FALSE,13.262432,1.62467,3
25.649414,0.204126,40.759763,-84.190912,0,0.57238,4572.604,0.803884,4,1,FALSE,FALSE,13.222655,1.631491,3
25.650423,0.205155,40.759767,-84.190914,0,0.573366,4575.626,0.815501,4,1,FALSE,FALSE,12.994268,1.638204,3
25.653402,0.206184,40.759771,-84.190915,0,0.573366,4582.8325,0.826288,4,1,FALSE,FALSE,12.617949,1.644863,3
25.658125,0.207212,40.759774,-84.190916,0,0.57238,4580.329,0.838733,4,1,FALSE,FALSE,13.165887,1.651498,3
25.661724,0.208239,40.759778,-84.190918,0,0.571147,4577.501,0.848897,4,1,FALSE,FALSE,13.635304,1.658138,3
25.663755,0.209266,40.759782,-84.190919,0,0.569174,4580.4663,0.856778,4,1,FALSE,FALSE,13.9357,1.664816,3
25.664581,0.210293,40.759785,-84.190921,0,0.565475,4577.0054,0.863416,4,1,FALSE,FALSE,14.058891,1.671549,3
25.66567,0.211318,40.759789,-84.190922,0,0.55857,4571.6523,0.868601,4,1,FALSE,FALSE,14.069337,1.678346,3
25.667555,0.21234,40.759793,-84.190924,0,0.547965,4566.8687,0.870053,4,1,FALSE,FALSE,14.20462,1.685245,3
25.669239,0.213361,40.759796,-84.190926,0,0.537855,4557.893,0.870053,4,1,FALSE,FALSE,14.383112,1.692314,3
25.671535,0.214381,40.7598,-84.190928,0,0.52725,4544.33,0.870053,4,1,FALSE,FALSE,14.674368,1.699568,3
25.672363,0.215401,40.759803,-84.190929,0,0.520345,4533.2783,0.870053,4,1,FALSE,FALSE,14.886953,1.706988,3
25.670624,0.216421,40.759807,-84.190931,0,0.513933,4524.6387,0.870053,4,1,FALSE,FALSE,15.08929,1.714599,3
25.667988,0.21744,40.759811,-84.190933,0,0.508755,4513.2837,0.870053,4,1,FALSE,FALSE,15.052066,1.722436,3
25.666359,0.218459,40.759814,-84.190935,0,0.505549,4503.21,0.870053,4,1,FALSE,FALSE,14.911785,1.730493,3
25.66415,0.219475,40.759818,-84.190937,0,0.502343,4496.692,0.870053,4,1,FALSE,FALSE,14.65535,1.738755,3
25.660604,0.220491,40.759821,-84.190939,0,0.50111,4492.1875,0.870053,4,1,FALSE,FALSE,14.85799,1.747233,3
25.657104,0.221507,40.759825,-84.190941,0,0.499137,4485.114,0.870053,4,1,FALSE,FALSE,15.03418,1.755918,3
25.65393,0.222521,40.759828,-84.190943,0,0.497904,4474.433,0.870053,4,1,FALSE,FALSE,15.526525,1.764775,3
25.649857,0.223536,40.759832,-84.190946,0,0.499137,4465.2666,0.87109,4,1,FALSE,FALSE,15.964868,1.773759,3
25.644218,0.22455,40.759835,-84.190948,0,0.499137,4457.586,0.872542,4,1,FALSE,FALSE,16.311836,1.782874,3
